cityAsciiName,stateProvAsciiName,twoCharCountryCode
Sant Julia de Loria,Sant Julia de Loria,AD
Ordino,Ordino,AD
les Escaldes,Escaldes-Engordany,AD
la Massana,La Massana,AD
Encamp,Encamp,AD
Canillo,Canillo,AD
Andorra la Vella,Andorra la Vella,AD
Umm Al Quwain City,Imarat Umm al Qaywayn,AE
Ras Al Khaimah City,Imarat Ra's al Khaymah,AE
Muzayri`,Abu Dhabi,AE
Masfut,Ajman,AE
Zayed City,Abu Dhabi,AE
Khawr Fakkan,Sharjah,AE
Dubai,Dubai,AE
Dibba Al-Fujairah,Fujairah,AE
Dibba Al-Hisn,Fujairah,AE
Sharjah,Sharjah,AE
Ar Ruways,Abu Dhabi,AE
Al Manamah,Ajman,AE
Al Fujairah City,Fujairah,AE
Al Ain City,Abu Dhabi,AE
Ajman City,Ajman,AE
Adh Dhayd,Sharjah,AE
Abu Dhabi,Abu Dhabi,AE
Khalifah A City,Abu Dhabi,AE
Bani Yas City,Abu Dhabi,AE
Musaffah,Abu Dhabi,AE
Al Shamkhah City,Abu Dhabi,AE
Reef Al Fujairah City,Fujairah,AE
Kuhsan,Herat,AF
Tukzar,Sar-e Pol,AF
Zindah Jan,Herat,AF
Zarghun Shahr,Paktika,AF
Zarah Sharan,Paktika,AF
Zaranj,Nimroz,AF
Yangi Qal'ah,Takhar,AF
Bazar-e Yakawlang,Bamyan,AF
Tir Pul,Herat,AF
Tarinkot,Oruzgan,AF
Taloqan,Takhar,AF
Tagaw-Bay,Sar-e Pol,AF
Tagab,Kapisa,AF
Shindand,Herat,AF
Shibirghan,Jowzjan,AF
Shahrak,Ghowr,AF
Sidqabad,Kapisa,AF
Sar-e Pul,Sar-e Pol,AF
Sangin,Helmand,AF
Sang-e Charak,Sar-e Pol,AF
Aibak,Samangan,AF
Rudbar,Nimroz,AF
Rustaq,Takhar,AF
Qarqin,Jowzjan,AF
Qarchi Gak,Balkh,AF
Qarawul,Kunduz,AF
Qarah Bagh,Herat,AF
Qala i Naw,Badghis,AF
Qal'ah-ye Shahr,Sar-e Pol,AF
Qalat,Zabul,AF
Parun,Nuristan,AF
Pul-e Khumri,Baghlan,AF
Pul-e 'Alam,Logar,AF
Panjab,Bamyan,AF
Paghman,Kabul,AF
Uruzgan,Oruzgan,AF
Nili,Daykundi,AF
Nahrin,Baghlan,AF
Mir Bachah Kot,Kabul,AF
Mirabad,Nimroz,AF
Maymana,Faryab,AF
Mehtar Lam,Laghman,AF
Mazar-e Sharif,Balkh,AF
Lashkar Gah,Helmand,AF
Larkird,Sar-e Pol,AF
Kushk,Herat,AF
Kunduz,Kunduz,AF
Khost,Khowst,AF
Khulm,Balkh,AF
Khash,Nimroz,AF
Khandud,Badakhshan,AF
Khanabad,Kunduz,AF
Karukh,Herat,AF
Kandahar,Kandahar,AF
Kabul,Kabul,AF
Jurm,Badakhshan,AF
Jalalabad,Nangarhar,AF
Jabal os Saraj,Parwan,AF
Herat,Herat,AF
Ghormach,Badghis,AF
Ghazni,Ghazni,AF
Gereshk,Helmand,AF
Gardez,Paktia,AF
Fayzabad,Badakhshan,AF
Farkhar,Takhar,AF
Farah,Farah,AF
Kafir Qala,Herat,AF
Imam Sahib,Kunduz,AF
Dasht-e Archi,Kunduz,AF
Darzab,Jowzjan,AF
Markaz-e Hukumat-e Darweshan,Helmand,AF
Chiras,Sar-e Pol,AF
Charikar,Parwan,AF
Chahar Burj,Herat,AF
Fayroz Koh,Ghowr,AF
Basawul,Nangarhar,AF
Baraki Barak,Logar,AF
Bamyan,Bamyan,AF
Balkh,Balkh,AF
Baghlan,Baghlan,AF
Hukumati Azrah,Logar,AF
Art Khwajah,Takhar,AF
Asmar,Kunar,AF
Ashkasham,Badakhshan,AF
Asadabad,Kunar,AF
Andkhoy,Faryab,AF
Anar Darah,Farah,AF
'Alaqahdari Dishu,Helmand,AF
Bazarak,Panjshir,AF
Maydanshakhr,Vardak,AF
Markaz-e Woluswali-ye Achin,Nangarhar,AF
Sharan,Paktika,AF
Saint John's,Saint John,AG
Piggotts,Saint George,AG
Parham,Saint Peter,AG
Falmouth,Saint Paul,AG
Codrington,Barbuda,AG
Bolands,Saint Mary,AG
West End Village,West End,AI
The Valley,The Valley,AI
The Quarter,The Quarter,AI
Farrington,The Farrington,AI
Stoney Ground,Stoney Ground,AI
South Hill Village,South Hill,AI
Sandy Ground Village,Sandy Ground,AI
North Side,North Side,AI
North Hill Village,North Hill,AI
Island Harbour,Island Harbour,AI
George Hill,George Hill,AI
East End Village,East End,AI
